E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
372.680	36.0	0.000E+00	0.000E+00	0.146E-01	0.812E+00	0.185E+00	0.296E+01	0.359E+01
374.637	37.0	0.000E+00	0.000E+00	0.297E-01	0.964E+00	0.161E+00	0.410E+01	0.363E+01
376.593	38.0	0.000E+00	0.000E+00	0.549E-01	0.109E+01	0.137E+00	0.532E+01	0.352E+01
378.550	39.0	0.000E+00	0.000E+00	0.930E-01	0.119E+01	0.121E+00	0.655E+01	0.330E+01
380.506	40.0	0.000E+00	0.000E+00	0.146E+00	0.124E+01	0.125E+00	0.769E+01	0.300E+01
382.463	41.0	0.000E+00	0.000E+00	0.214E+00	0.124E+01	0.166E+00	0.868E+01	0.264E+01
384.419	42.0	0.000E+00	0.229E-05	0.295E+00	0.119E+01	0.268E+00	0.946E+01	0.225E+01
386.376	43.0	0.000E+00	0.119E-04	0.385E+00	0.111E+01	0.457E+00	0.100E+02	0.187E+01
388.332	44.0	0.000E+00	0.457E-04	0.481E+00	0.999E+00	0.760E+00	0.103E+02	0.152E+01
390.289	45.0	0.000E+00	0.143E-03	0.576E+00	0.869E+00	0.120E+01	0.104E+02	0.121E+01
392.245	46.0	0.000E+00	0.389E-03	0.663E+00	0.733E+00	0.177E+01	0.102E+02	0.934E+00
394.202	47.0	0.000E+00	0.941E-03	0.739E+00	0.601E+00	0.253E+01	0.986E+01	0.710E+00
396.158	48.0	0.000E+00	0.208E-02	0.796E+00	0.480E+00	0.333E+01	0.931E+01	0.529E+00
398.115	49.0	0.000E+00	0.422E-02	0.833E+00	0.374E+00	0.419E+01	0.861E+01	0.388E+00
400.072	50.0	0.000E+00	0.793E-02	0.846E+00	0.287E+00	0.506E+01	0.782E+01	0.279E+00
402.028	51.0	0.000E+00	0.138E-01	0.836E+00	0.220E+00	0.591E+01	0.697E+01	0.199E+00
403.985	52.0	0.000E+00	0.224E-01	0.805E+00	0.177E+00	0.668E+01	0.610E+01	0.139E+00
405.941	53.0	0.000E+00	0.342E-01	0.756E+00	0.160E+00	0.735E+01	0.525E+01	0.964E-01
407.898	54.0	0.000E+00	0.492E-01	0.694E+00	0.177E+00	0.787E+01	0.444E+01	0.660E-01
409.854	55.0	0.118E-05	0.674E-01	0.621E+00	0.235E+00	0.823E+01	0.370E+01	0.448E-01
411.811	56.0	0.395E-05	0.881E-01	0.545E+00	0.345E+00	0.842E+01	0.303E+01	0.301E-01
413.767	57.0	0.116E-04	0.110E+00	0.467E+00	0.511E+00	0.844E+01	0.244E+01	0.200E-01
415.724	58.0	0.310E-04	0.133E+00	0.393E+00	0.739E+00	0.829E+01	0.194E+01	0.132E-01
417.680	59.0	0.759E-04	0.156E+00	0.324E+00	0.103E+01	0.798E+01	0.152E+01	0.868E-02
419.637	60.0	0.171E-03	0.176E+00	0.262E+00	0.136E+01	0.754E+01	0.118E+01	0.565E-02
421.593	61.0	0.356E-03	0.192E+00	0.210E+00	0.174E+01	0.700E+01	0.899E+00	0.365E-02
423.550	62.0	0.689E-03	0.204E+00	0.166E+00	0.214E+01	0.639E+01	0.678E+00	0.235E-02
425.506	63.0	0.124E-02	0.210E+00	0.131E+00	0.255E+01	0.573E+01	0.507E+00	0.150E-02
427.463	64.0	0.210E-02	0.211E+00	0.105E+00	0.259E+01	0.585E+01	0.374E+00	0.949E-03
429.419	65.0	0.334E-02	0.207E+00	0.888E-01	0.296E+01	0.517E+01	0.274E+00	0.598E-03
431.376	66.0	0.503E-02	0.197E+00	0.841E-01	0.330E+01	0.450E+01	0.199E+00	0.375E-03
433.332	67.0	0.720E-02	0.184E+00	0.919E-01	0.359E+01	0.386E+01	0.143E+00	0.234E-03
435.289	68.0	0.984E-02	0.168E+00	0.114E+00	0.382E+01	0.327E+01	0.102E+00	0.145E-03
437.245	69.0	0.129E-01	0.151E+00	0.152E+00	0.400E+01	0.273E+01	0.722E-01	0.889E-04
439.202	70.0	0.162E-01	0.132E+00	0.208E+00	0.410E+01	0.225E+01	0.508E-01	0.543E-04
441.158	71.0	0.196E-01	0.114E+00	0.282E+00	0.413E+01	0.184E+01	0.355E-01	0.329E-04
443.115	72.0	0.229E-01	0.967E-01	0.373E+00	0.409E+01	0.148E+01	0.246E-01	0.198E-04
445.072	73.0	0.260E-01	0.807E-01	0.481E+00	0.398E+01	0.108E+01	0.170E-01	0.118E-04
447.028	74.0	0.285E-01	0.665E-01	0.603E+00	0.382E+01	0.763E+00	0.116E-01	0.693E-05
448.985	75.0	0.303E-01	0.541E-01	0.735E+00	0.360E+01	0.526E+00	0.792E-02	0.399E-05
450.941	76.0	0.314E-01	0.436E-01	0.872E+00	0.335E+01	0.356E+00	0.537E-02	0.226E-05
452.898	77.0	0.317E-01	0.351E-01	0.101E+01	0.307E+01	0.239E+00	0.362E-02	0.117E-05
454.854	78.0	0.313E-01	0.285E-01	0.114E+01	0.277E+01	0.162E+00	0.243E-02	0.553E-06
456.811	79.0	0.302E-01	0.238E-01	0.126E+01	0.247E+01	0.111E+00	0.162E-02	0.116E-06
458.767	80.0	0.293E-01	0.239E-01	0.137E+01	0.218E+01	0.834E-01	0.108E-02	0.000E+00
